reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,,,,-.49949631,-.41749755,-.48450696,-.42097539,-.51433861,-.52420115,-.34344739,-.31456923,-.46143022,-.23826429,-.31171659,-.33149508,.043177638,-.10354317,-.23158176,-.29027018,-.25833994,-.08794301,-.32572645,-.58163935,-.18193339,-.52121705,-.64753741,-.76055759,,-1.7518585,,,-1.637071
.73474979,.60665846,.23707719,.27803564,.13352183,.17649938,.1142136,-.087652415,-.25341058,-.072622448,-.19336388,-.1399228,-.26978126,,-.14248908,,-.28350073,,-.20698856,,,,,,,,,,,,,,,,,
-.34296915,-.25591314,-.1137319,-.37517342,-.23767538,-.45166686,-.47415173,-.44777822,-.5559749,,-.86388242,,-.79950833,,-.73897576,,,,,,,,,,,,,,,,,,,,,
,-.16546187,,-.1594649,,.12565722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.63898611,.42722562,.94297844,.93551332,1.0642506,.73144132,.45425582,.49871075,.48193628,.50551397,.72497785,,.15605773,,-.19590931,,-.32305858,,,,,,,,,,,,,,,,,
,,,.14156125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.053535279,-.15778981,-.16526529,-.21869943,-.37851742,-.28091386,-.2538037,-.33816171,-.24557181,-.38715243,-.28758919,-.1338587,-.25930253,-.32260144,-.2777091,-.35068628,-.50793523,.018206019,-.26007754,-.23916423,-.15954266,-.060762689,-.56866777,-.21194068,-.11318076,.16889648,-.40030405,,-.12483744,-.12685995,,,,-.021031441,
,,,,,,,,,,,,,,,,,,,,,,-1.0015022,,,,,,,,,,,,,
,,,,,,,,.22462907,,.057545647,,.32916981,.3245455,.48783568,-.58040148,.26299351,.23830877,-.18930881,.14723903,.014266526,.048991729,.25374019,.27269149,.25390446,.36349615,-1.3443468,-.85761029,-.61305737,-.70652914,-.52138138,-.45144716,-.46796948,.13008457,-.21393752,-.11965185
-.8083325,-.29342303,-.27992117,-.16191669,-.44448507,-.37393507,-.22152869,-.28473276,-.31765023,-.091075003,-.17566702,,,-.17366651,-.76585364,,-.29523709,,-.26166421,,-.19868359,,,,,,,,,,,,,,,
